date,score,active
2020-01-06,1.06,0
2020-01-13,1.08,0
2020-01-20,1.1,0
2020-01-27,1.18,0
2020-02-03,1.16,0
2020-02-10,1.3,0
2020-02-17,2.0,0
2020-02-24,1.26,0
2020-03-02,1.12,0
2020-03-09,1.06,0
2020-03-16,1.06,0
2020-03-23,0.94,0
2020-03-30,0.94,0
2020-04-06,1.2,0
2020-04-13,1.06,0
2020-04-20,1.12,0
2020-04-27,1.16,0
2020-05-04,1.18,0
2020-05-11,1.18,0
2020-05-18,1.4,0
2020-05-25,1.38,0
2020-06-01,1.1,0
2020-06-08,1.06,0
2020-06-15,1.24,0
2020-06-22,1.14,0
2020-06-29,1.18,0
2020-07-06,1.08,0
2020-07-13,1.18,0
2020-07-20,1.16,0
2020-07-27,1.18,0
2020-08-03,1.22,0
2020-08-10,1.15,0
2020-08-17,1.16,0
2020-08-24,1.15,0
2020-08-31,1.11,0
2020-09-07,1.09,0
2020-09-14,1.16,0
2020-09-21,1.11,0
2020-09-28,1.25,0
2020-10-05,1.08,0
2020-10-12,1.06,0
2020-10-19,0.97,0
2020-10-26,1.08,0
2020-11-02,1.04,0
2020-11-09,0.97,0
2020-11-16,1.01,0
2020-11-23,1.06,0
2020-11-30,1.02,0
2020-12-07,1.35,0
2020-12-14,1.47,0
2020-12-21,1.13,0
2020-12-28,1.74,0
2021-01-04,1.08,0
2021-01-11,1.13,0
2021-01-18,1.15,0
2021-01-25,1.16,0
2021-02-01,1.18,0
2021-02-08,1.2,0
2021-02-15,1.2,0
2021-02-22,1.18,0
2021-03-01,1.16,0
2021-03-08,1.31,0
2021-03-15,1.31,0
2021-03-22,1.24,0
2021-03-29,1.22,0
2021-04-05,1.28,0
2021-04-12,1.16,0
2021-04-19,1.26,0
2021-04-26,1.16,0
2021-05-03,1.49,0
2021-05-10,1.18,0
2021-05-17,1.18,0
2021-05-24,1.24,0
2021-05-31,1.45,0
2021-06-07,1.26,0
2021-06-14,2.04,0
2021-06-21,1.28,0
2021-06-28,1.14,0
2021-07-05,1.18,0
2021-07-12,1.12,0
2021-07-19,1.22,0
2021-07-26,1.12,0
2021-08-02,1.2,0
2021-08-09,1.13,0
2021-08-16,1.19,0
2021-08-23,1.55,0
2021-08-30,1.21,0
2021-09-06,1.26,0
2021-09-13,1.26,0
2021-09-20,1.24,0
2021-09-27,1.18,0
2021-10-04,1.24,0
2021-10-11,1.33,0
2021-10-18,1.28,0
2021-10-25,1.31,0
2021-11-01,1.26,0
2021-11-08,1.31,0
2021-11-15,1.4,0
2021-11-22,1.34,0
2021-11-29,1.21,0
2021-12-06,1.48,0
2021-12-13,1.46,0
2021-12-20,1.29,0
2021-12-27,1.26,0
2022-01-03,1.36,0
2022-01-10,1.68,0
2022-01-17,1.61,0
2022-01-24,1.38,0
2022-01-31,1.63,0
2022-02-07,1.4,0
2022-02-14,1.58,0
2022-02-21,1.62,0
2022-02-28,1.51,0
2022-03-07,1.37,0
2022-03-14,1.37,0
2022-03-21,1.44,0
2022-03-28,1.48,0
2022-04-04,1.4,0
2022-04-11,1.51,0
2022-04-18,1.51,0
2022-04-25,1.51,0
2022-05-02,1.58,0
2022-05-09,1.73,0
2022-05-16,1.55,0
2022-05-23,1.58,0
2022-05-30,1.69,0
2022-06-06,1.73,0
2022-06-13,3.6,0
2022-06-20,3.06,0
